id,legal_name,doing_business_as_name,address,state,city,zip_code,ward,precinct,ward_precinct,police_district,latitude,longitude,location,location_precise,business_activity_array,business_activity_id_array,standardized_activities_array,osm_vicinity,osm_matched,osm_name,osm_activities,google_matched,name,google_address,website,phone_number,business_status
2703414-20210416,THE DINING ROOM AT KENDALL NFP,THE DINING ROOM AT KENDALL COLLEGE AT NATIONAL LOUIS UNIVERSITY,18 S MICHIGAN AVE 7,IL,CHICAGO,60603,42.0,33.0,42-33,1.0,41.881658739,-87.624500099,"(41.8816587, -87.6245001)","(41.88165873896031, -87.62450009856119)","('Consumption of Liquor on Premises', 'Preparation of Food and Dining on Premise With Seating', 'Retail Sales of General Merchandise and Non-Perishable Food')","('767, 638, 73',)","('bar', 'restaurant', 'store')",False,False,False,False,True,Dining Room At Kendall College,18 S Michigan Ave,https://www.kendalldiningroom.com/,+1 312-261-3660,OPERATIONAL
2623032-20220316,CPM-IL LLC,CPM-IL,1819 W DIVISION ST 1ST 200,IL,CHICAGO,60622,1.0,10.0,1-10,12.0,41.90314384,-87.673157436,"(41.9031438, -87.6731574)","(41.90314384002702, -87.67315743621683)","('Administrative Commercial Office',)","('602',)","('administrative_office',)",False,False,False,False,False,,,,,
2506702-20210116,SU P LEE,BEAUTY ZONE,5956 W ROOSEVELT RD 1ST,IL,CHICAGO,60644,29.0,34.0,29-34,15.0,41.865570315,-87.773992551,"(41.8655703, -87.7739926)","(41.86557031520834, -87.77399255129163)","('Retail Sales of General Merchandise',)","('904',)","('store',)",False,False,False,False,True,Beauty Zone,5956 W Roosevelt Rd,https://website-4587463614383079690156-beautysalon.business.site/,+1 312-834-2277,OPERATIONAL
2595167-20201216,"FORECREU AMERICA, INC.","FORECREU AMERICA, INC.",2518 W MAYPOLE AVE,IL,CHICAGO,60612,27.0,36.0,27-36,12.0,41.883844606,-87.68933594,"(41.8838446, -87.6893359)","(41.883844606088374, -87.68933594036983)","('Miscellaneous Commercial Services', 'Administrative Commercial Office')","('602, 70',)","('miscellaneous_commercial', 'administrative_office')",False,False,False,False,True,"Forecreu America, Inc.",2518 W Maypole Ave,http://www.forecreu.com/,+1 773-539-8501,OPERATIONAL
2134060-20210116,"FIVE POINTS WINGS, LLC",WINGSTOP #587,6190 S ARCHER AVE 1,IL,CHICAGO,60638,23.0,44.0,23-44,8.0,41.794017543,-87.774147371,"(41.7940175, -87.7741474)","(41.794017543044355, -87.7741473714093)","('Retail Sales of Perishable Foods',)","('775',)","('food',)",7698726648,True,Wingstop,['fast_food'],True,Wingstop,6188 S Archer Ave,https://www.wingstop.com/location/wingstop-587-chicago-il-60638/menu,+1 773-498-9464,OPERATIONAL
2595855-20220516,LINDA M MEEKINS,LINDA M MEEKINS,9212 S GREEN ST,IL,CHICAGO,60620,21.0,46.0,21-46,22.0,41.726399636,-87.644709654,"(41.7263996, -87.6447097)","(41.72639963617061, -87.64470965356557)","('Peddler Over 65 Years of Age - Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way',)","('770',)","('',)",False,False,False,False,False,,,,,
2397446-20210516,JAYSON P STURDIVANT,JAYSON P. STURDIVANT,6315 S HONORE ST,IL,CHICAGO,60636,15.0,40.0,15-40,7.0,41.778889506,-87.67013745,"(41.7788895, -87.6701374)","(41.7788895060213, -87.67013744995505)","('Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way',)","('769',)","('food',)",False,False,False,False,False,,,,,
2373957-20210116,"TAHER, INC.",DIRKSEN US COURTHOUSE,219 S DEARBORN ST,IL,CHICAGO,60604,42.0,9.0,42-9,1.0,41.878966836,-87.629193356,"(41.8789668, -87.6291934)","(41.87896683614633, -87.62919335609855)","('Preparation of Food and Dining on Premise With Seating',)","('735',)","('restaurant',)",False,False,False,False,True,Federal Building,219 S Dearborn St,https://www.gsa.gov/about-us/regions/welcome-to-the-great-lakes-region-5/buildings-and-facilities/illinois/everett-m-dirksen-us-courthouse,,OPERATIONAL
2856707-20220929,VENUS RENEE LARA,LA FIESTA,4248 S ARCHER AVE 1ST,IL,CHICAGO,60632,15.0,10.0,15-10,9.0,41.816291738,-87.700889781,"(41.8162917, -87.7008898)","(41.81629173762001, -87.7008897812118)","('Sale of Food Prepared Onsite With Dining Area',)","('781',)","('restaurant',)",False,False,False,False,True,La Fiesta,4248 S Archer Ave,,+1 773-254-4678,OPERATIONAL
2845038-20220520,XS TENNIS & EDUCATION FOUNDATION,XS TENNIS & EDUCATION FOUNDATION,5336 S STATE ST,IL,CHICAGO,60609,3.0,,3-,2.0,41.797200279,-87.625913914,"(41.7972003, -87.6259139)","(41.79720027934307, -87.62591391377782)","('Consumption of Liquor on Premises', 'Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee', 'Health Club')","('746, 670, 63',)","('bar', 'amusement', 'gym')",False,False,False,False,True,XS Tennis and Education Foundation,5336 S State St,http://xstennis.org/,+1 773-548-7529,OPERATIONAL
2863446-20220811,"FIGUEROA BAR, INC.",DAMEN TAVERN,1958 W HURON ST,IL,CHICAGO,60622,1.0,39.0,1-39,12.0,41.894205346,-87.676881706,"(41.8942053, -87.6768817)","(41.89420534591261, -87.67688170620728)","('Special Event Beer, Wine & Spirits',)","('996',)","('',)",5195156460,True,Damen Tavern,['bar'],True,Damen Tavern,701 N Damen Ave,http://damentavern.com/,+1 312-796-3191,OPERATIONAL
2309204-20220216,MARIA KOMANIECKI,MARIA KOMANIECKI,5013 S KEATING AVE,IL,CHICAGO,60632,14.0,53.0,14-53,8.0,41.801736834,-87.74162959,"(41.8017368, -87.7416296)","(41.80173683357509, -87.7416295896019)","('Peddler Over 65 Years of Age - Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way',)","('770',)","('',)",False,False,False,False,False,,,,,
2754159-20221016,Fortino Huerta,Huerta 40,4100 S ASHLAND AVE  40,IL,CHICAGO,60609,12.0,,12-,,41.819441426,-87.665375545,"(41.8194414, -87.6653755)","(41.81944142629576, -87.6653755449091)","('Retail Sales of Jewelry and Jewelry Repair',)","('923',)","('jewelry_store',)",False,False,False,False,False,,,,,
2757928-20210726,DAMON & 55TH MARKET INC.,DAMON 55TH MARKET,1951 W GARFIELD BLVD 1,IL,CHICAGO,60636,15.0,,15-,,41.793444246,-87.673884126,"(41.7934442, -87.6738841)","(41.79344424639706, -87.67388412644283)","('Sale of Food Prepared Onsite Without Dining Area',)","('782',)","('meal_takeaway',)",False,False,False,False,False,,,,,
2835732-20220308,Lumen Workplace Inc,Lumen Workplace inc,1853 W RACE AVE,IL,CHICAGO,60622,1.0,,1-,,41.891480801,-87.67413342,"(41.8914808, -87.6741334)","(41.8914808006034, -87.67413341978124)","('Professional Consulting Home Based Business',)","('719',)","('',)",False,False,False,False,False,,,,,
2379215-20210616,"NANDO'S OF LAKEVIEW, LLC",NANDO'S PERI-PERI,670 W DIVERSEY PKWY 1,IL,CHICAGO,60614,44.0,45.0,44-45,19.0,41.932883865,-87.646271752,"(41.9328839, -87.6462718)","(41.932883864695405, -87.64627175168746)","('Consumption of Liquor on Premises', 'Preparation of Food and Dining on Premise With Seating')","('638, 73',)","('bar', 'restaurant')",6323038072,True,Nando's,['restaurant'],True,Nando's PERi-PERi,670 W Diversey Pkwy,https://www.nandosperiperi.com/find/restaurants/lakeview?utm_source=mf&utm_medium=mf&utm_campaign=local,+1 773-634-7153,OPERATIONAL
2657802-20220116,YEPI-BOO LLC,JIBARITOS Y MAS DINE IN,3404-3406 W FULLERTON AVE 1,IL,CHICAGO,60647,35.0,7.0,35-7,14.0,41.924767367,-87.712324146,"(41.9247674, -87.7123241)","(41.92476736668179, -87.71232414559836)","('Preparation of Food and Dining on Premise With Seating',)","('735',)","('restaurant',)",3659153796,True,Jibaritos y Mas,['restaurant'],True,Jibaritos Y Mas,3400 W Fullerton Ave,https://www.orderjibaritosymas.com/,+1 773-799-8601,OPERATIONAL
2289618-20211016,"AFFORDABLE WELDING, US, INC.","AFFORDABLE WELDING, US, INC.",3100 E 87TH ST 1ST,IL,CHICAGO,60617,10.0,,10-,,41.737524443,-87.54877153,"(41.7375244, -87.5487715)","(41.737524443063855, -87.5487715297924)","('Manufacturing of Plastics, Foams, Construction Materials, Glass, or Rubber',)","('731',)","('',)",False,False,False,False,True,Affordable Welding,3100 E 87th St,,,OPERATIONAL
2563899-20201116,A.S.K. INC.,THEE EUROPEAN SPA,5927 N MILWAUKEE AVE,IL,CHICAGO,60646,45.0,3.0,45-3,16.0,41.989338474,-87.780078888,"(41.9893385, -87.7800789)","(41.98933847407813, -87.7800788876706)","('Provide Full Body Massage Services',)","('745',)","('health',)",False,False,False,False,True,Thee European Spa,5927 N Milwaukee Ave,http://www.theeeuropeanspa.com/,+1 773-631-4658,OPERATIONAL
2214842-20211016,"HOWARD AUTOBODY & REPAIR, INC.",HOWARD AUTO,2255 W HOWARD ST,IL,CHICAGO,60645,49.0,44.0,49-44,24.0,42.019398568,-87.686729345,"(42.0193986, -87.6867293)","(42.01939856821077, -87.686729344614)","('Storage or Use of Hazardous Materials On Site MVR', 'Motor Vehicle Repair - Engine and Body Work')","('818, 71',)","('car_repair',)",False,False,False,False,True,Howard Auto Body & Repair Inc,2255 W Howard St,http://www.howardautobody.com/,+1 773-262-3550,OPERATIONAL
40266-20220816,"KEDZIE PAWN, INC",CERMAK PAWN & JEWELRY,2811 W CERMAK RD  1ST,IL,CHICAGO,60623,12.0,7.0,12-7,10.0,41.85178582,-87.696024964,"(41.8517858, -87.696025)","(41.85178581984337, -87.69602496414917)","('Pledging of Property for Money Pawnbroker / Pawn Shop',)","('732',)","('',)",False,False,False,False,True,Cermak Pawn & Jewelry,2811 W Cermak Rd,,+1 773-927-7296,OPERATIONAL
2320847-20220416,Dinuhos Arts LLC,Dinuhos Arts,5324 N GLENWOOD AVE 1,IL,CHICAGO,60640,48.0,,48-,,41.978938391,-87.664972042,"(41.9789384, -87.664972)","(41.978938390884224, -87.66497204232681)","('Freelance Writer Home Based Business',)","('665',)","('',)",False,False,False,False,False,,,,,
2216542-20201216,VARNI INVESTMENT INC.,CD ONE PRICE CLEANERS,2815 N BROADWAY  1ST,IL,CHICAGO,60657,44.0,41.0,44-41,19.0,41.933232426,-87.644635373,"(41.9332324, -87.6446354)","(41.93323242619162, -87.64463537294792)","('Storage or Use of Hazardous Materials',)","('816',)","('hazardous_materials',)",False,False,False,False,True,CD One Price Cleaners,2815 N Broadway,https://cdonepricecleaners.com/locations/illinois/dry-cleaning-in-chicago-lincoln-park/,+1 773-296-0834,OPERATIONAL
2437361-20211216,"LINE DOT, LLC","LINE DOT, LLC",1023 N WESTERN AVE GROUND,IL,CHICAGO,60622,1.0,26.0,1-26,12.0,41.900179696,-87.686811299,"(41.9001797, -87.6868113)","(41.9001796963123, -87.68681129923553)","('Retail Sales of General Merchandise',)","('904',)","('store',)",False,False,False,False,False,,,,,
2216775-20211216,"WINDY CITY SILKSCREENING, INC.",WINDY CITY SILKSCREENING,2715 S ARCHER AVE,IL,CHICAGO,60608,11.0,4.0,11-4,9.0,41.844217022,-87.652383242,"(41.844217, -87.6523832)","(41.84421702186468, -87.65238324186201)","('Storage or Use of Hazardous Materials',)","('816',)","('hazardous_materials',)",False,False,False,False,True,Windy City Silkscreening,2715 S Archer Ave,https://www.wcsshirts.com/WCSSHOP/shop/home,+1 312-842-0030,OPERATIONAL
2785866-20210422,Adelina Paredes,Ade's Shoes,4100 S ASHLAND AVE OUTDOOR 1010,IL,CHICAGO,60609,12.0,,12-,,41.819441426,-87.665375545,"(41.8194414, -87.6653755)","(41.81944142629576, -87.6653755449091)","('Retail Sales of General Merchandise', 'Retail Sales of Clothing / Accessories / Shoes')","('904, 91',)","('store', 'clothing_store')",False,False,False,False,False,,,,,
2464519-20210416,"SODEXO AMERICA, LLC",UNITED AIRLINES CLUB,11601 W TOUHY AVE TERMINAL 1-B18,IL,CHICAGO,60666,41.0,27.0,41-27,16.0,42.008536401,-87.914428439,"(42.0085364, -87.9144284)","(42.008536400868735, -87.91442843927047)","('Consumption of Liquor on Premises', 'Preparation of Food and Dining on Premise With Seating')","('638, 73',)","('bar', 'restaurant')",False,False,False,False,False,,,,,
2846134-20220610,"D B STERLIN CONSULTANTS, INC.",DAVID COOK,123 N WACKER DR 20TH 2000,IL,CHICAGO,60606,42.0,9.0,42-9,1.0,41.883748217,-87.636661838,"(41.8837482, -87.6366618)","(41.883748216941356, -87.6366618383099)","('Employee of Expediter Service',)","('654',)","('expediter_services',)",False,False,False,False,False,,,,,
5357-20210116,AMERICAN GRINDING & MACHINE CO,AMERICAN GRINDING & MACHINE CO,2000 N MANGO AVE,IL,CHICAGO,60639,29.0,7.0,29-7,25.0,41.916926352,-87.769527789,"(41.9169264, -87.7695278)","(41.916926352249476, -87.76952778856044)","('Miscellaneous Manufacturing',)","('929',)","('manufacturing',)",False,False,False,False,True,American Grinding & Machine Co,2000 N Mango Ave,https://www.americangrinding.com/index.html,+1 773-889-4343,OPERATIONAL
2247078-20210416,TERESA GUADARRAMA,TERESA GUADARRAMA,3754 S HERMITAGE AVE,IL,CHICAGO,60609,12.0,30.0,12-30,9.0,41.82518358,-87.66918458,"(41.8251836, -87.6691846)","(41.825183579751915, -87.66918457972861)","('Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way',)","('769',)","('food',)",False,False,False,False,False,,,,,
2134114-20220416,"GRAND FOOD & LIQUOR MART, INC.",GRAND FOOD MART,200 W GRAND AVE 1ST,IL,CHICAGO,60654,42.0,14.0,42-14,18.0,41.891696112,-87.634145905,"(41.8916961, -87.6341459)","(41.891696112063244, -87.6341459050355)","('Retail Sales of Packaged Liquor', 'Retail Sale of Tobacco', 'Retail Sales of Perishable Foods')","('763, 774, 77',)","('liquor_store', 'tobacco', 'food')",False,False,False,False,True,Grand Food Mart,200 W Grand Ave,https://grandfoodmart.business.site/?utm_source=gmb&utm_medium=referral,+1 312-527-4444,OPERATIONAL
1443874-20211216,"MID TOWN PRODUCE, INC.","MID TOWN PRODUCE, INC.",3042 N MILWAUKEE AVE,IL,CHICAGO,60618,30.0,25.0,30-25,25.0,41.936398618,-87.719654356,"(41.9363986, -87.7196544)","(41.93639861849938, -87.71965435611558)","('Retail Sales of Perishable Foods', 'Retail Sale of Tobacco')","('763, 77',)","('food', 'tobacco')",3627801814,True,Midtown Produce,['greengrocer'],True,Midtown Produce,3042 N Milwaukee Ave,,+1 773-276-7187,OPERATIONAL
2683751-20210716,ALL PRO TRUCK DRIVING SCHOOL LLC,ALL PRO TRUCK DRIVING SCHOOL LLC,7601 S KOSTNER AVE 2 230,IL,CHICAGO,60652,18.0,43.0,18-43,8.0,41.754884146,-87.732222241,"(41.7548841, -87.7322222)","(41.754884145839966, -87.73222224148103)","('Miscellaneous Commercial Services', 'Administrative Commercial Office')","('602, 70',)","('miscellaneous_commercial', 'administrative_office')",False,False,False,False,True,All Pro Truck Driving School,7601 S Kostner Ave,http://allprocdla.com/training-programs/,+1 773-581-9376,OPERATIONAL
12027-20211116,VIENNA SAUSAGE MANUFACTURING CO,VIENNA SAUSAGE MFG CO,2501 N DAMEN AVE,IL,CHICAGO,60647,32.0,34.0,32-34,14.0,41.927243262,-87.677955856,"(41.9272433, -87.6779559)","(41.927243262256596, -87.67795585563583)","('Wholesale Food Sales', 'Storage or Use of Hazardous Materials')","('864, 81',)","('food', 'hazardous_materials')",False,False,False,False,True,Vienna Beef Factory Store & Cafe,2501 N Damen Ave,http://www.viennabeef.com/,+1 773-435-2309,CLOSED_PERMANENTLY
2840520-20220329,"AMBIANCE SOCIAL EQUALITY, LLC",TULIACAT LOGISTICS,9550 S EMERALD AVE,IL,CHICAGO,60628,21.0,5.0,21-5,22.0,41.719973989,-87.642106209,"(41.719974, -87.6421062)","(41.71997398887835, -87.64210620855386)","('Professional Consulting Home Based Business',)","('719',)","('',)",False,False,False,False,False,,,,,
2845328-20220425,Peer Beauty Inc,Peer Beauty Inc,108 W KINZIE ST 3 A,IL,CHICAGO,60654,42.0,,42-,,41.889316024,-87.631487741,"(41.889316, -87.6314877)","(41.88931602352444, -87.63148774072847)","('Hair Services', 'Skincare Services', 'Nail Services', 'Hair, Nail, and Skin Care Services')","('144, 896, 894, 89',)","('hair_care', 'beauty_salon', 'nail_care', 'beauty_salon')",False,False,False,False,False,,,,,
2840835-20220810,CEDAR CRIB LLC,CEDAR PALACE,655 W ARMITAGE AVE,IL,CHICAGO,60614,43.0,3.0,43-3,18.0,41.918108074,-87.645883178,"(41.9181081, -87.6458832)","(41.91810807444473, -87.6458831775194)","('Operation of a Shared Kitchen - Secondary to Primary Business Supplemental',)","('803',)","('',)",6280558497,True,Cedar Palace,['restaurant'],True,Cedar Palace,655 W Armitage Ave,http://www.cedarpalaceresto.com/,+1 312-643-0933,OPERATIONAL
2373811-20210116,"CHICAGO FAT DOCTOR, INC",Chicago Fat Doctor & Anti-Aging Clinic,800 S WELLS ST MARINA M25,IL,CHICAGO,60607,25.0,21.0,25-21,1.0,41.872086352,-87.633718468,"(41.8720864, -87.6337185)","(41.87208635220723, -87.6337184683434)","('Retail Sales of General Merchandise and Non-Perishable Food',)","('767',)","('store',)",False,False,False,False,True,Chicago Fat Doctor,800 S Wells St,,+1 312-431-8535,OPERATIONAL
2632009-20201116,"LISTING 2 LEASING, LLC","LISTING 2 LEASING, LLC",200 W OHIO ST 2ND,IL,CHICAGO,60654,42.0,,42-,,41.892497422,-87.634166225,"(41.8924974, -87.6341662)","(41.892497422329804, -87.63416622539611)","('Miscellaneous Commercial Services',)","('708',)","('miscellaneous_commercial',)",False,False,False,False,True,Listing 2 Leasing,200 W Ohio St,http://www.listing2leasing.com/,+1 312-883-5258,OPERATIONAL
2762228-20201123,CARMEN G PEREZ,MAGIC MATTRESS,3947 N AUSTIN AVE.  1,IL,CHICAGO,60634,38.0,,38-,,41.952618335,-87.776613692,"(41.9526183, -87.7766137)","(41.95261833471703, -87.77661369186345)","('Retail Sales of General Merchandise',)","('904',)","('store',)",False,False,False,False,True,Thrift Store The Magic Mattress,3947 N Austin Ave,,+1 773-837-3362,OPERATIONAL
2212309-20210716,KATHRYN A. KRAMER,KATHRYN A. KRAMER,6380 N HERMITAGE AVE,IL,CHICAGO,60660,40.0,37.0,40-37,24.0,41.997913324,-87.673647379,"(41.9979133, -87.6736474)","(41.99791332366781, -87.67364737929073)","('Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way',)","('769',)","('food',)",False,False,False,False,False,,,,,
2215263-20210116,"JR AUTO REBUILDERS, INC.","JR AUTO REBUILDERS, INC.",3240-3242 W CARROLL AVE 1ST,IL,CHICAGO,60624,28.0,2.0,28-2,11.0,41.887611949,-87.707836706,"(41.8876119, -87.7078367)","(41.88761194943551, -87.70783670573178)","('Motor Vehicle Repair -  Engine and Transmission Work',)","('712',)","('',)",False,False,False,False,True,JR Auto Rebuilders Mechanic Service,3240 W Carroll Ave,,+1 312-907-0780,OPERATIONAL
2767248-20210201,KING DRIVE OIL INC.,CITGO,8248-8258 S DR MARTIN LUTHER KING JR DR,IL,CHICAGO,60619,6.0,,6-,6.0,41.744182983,-87.614925172,"(41.744183, -87.6149252)","(41.74418298345463, -87.61492517212469)","('Retail Sales of Perishable Foods', 'Retail Sales of Tobacco Products', 'Retail Sales of General Merchandise', 'Retail Sales of Tobacco and Flavored Tobacco Products', 'Operation of a Fuel Filling Station', 'Retail Sales of General Merchandise and Non-Perishable Food', 'Retail Sales of Tobacco Accessories')","('775, 776, 937, 936, 904, 666, 76',)","('food', 'tobacco', 'store', 'tobacco', 'gas_station', 'store', 'tobacco')",False,False,False,False,True,King drive citgo,8258 S Martin Luther King Dr,https://www.citgo.com/,,OPERATIONAL
2718171-20220316,SAI ARMAN INC.,EYEBROWS THREADING STUDIO 8,1400 E 47TH DR 1ST H,IL,CHICAGO,60653,4.0,10.0,4-10,2.0,41.809795483,-87.592373867,"(41.8097955, -87.5923739)","(41.80979548271692, -87.59237386663331)","('Skincare Services', 'Provide Waxing Services')","('896, 95',)","('beauty_salon', 'beauty_salon')",False,False,False,False,True,Eyebrow Threading Studio,1400 E 47th St,,+1 773-891-4062,OPERATIONAL
1244004-20210216,"VICTORIA OPERATING COMPANY, LLC",THE VIC THEATER,3145 N SHEFFIELD AVE,IL,CHICAGO,60657,44.0,20.0,44-20,19.0,41.939398698,-87.653941319,"(41.9393987, -87.6539413)","(41.93939869816502, -87.65394131919611)","('Retail Sales of Perishable Foods', 'Consumption of Liquor on Premises', 'Provides Onsite Amusement or Entertainment')","('775, 638, 74',)","('food', 'bar', 'amusement')",False,False,False,False,True,The Vic Theatre,3145 N Sheffield Ave,http://victheatre.com/,+1 773-472-0449,OPERATIONAL
2791267-20210518,LIV MY BEAUTY LLC,MLG SALON,7132 N HARLEM AVE 2 205,IL,CHICAGO,60631,41.0,,41-,,42.010861089,-87.806793803,"(42.0108611, -87.8067938)","(42.01086108894005, -87.80679380310987)","('Hair Services', 'Skincare Services')","('896, 89',)","('hair_care', 'beauty_salon')",False,False,False,False,True,MLG Salon,7132 N Harlem Ave,http://www.funkstyleclass.com/,+1 312-880-9493,OPERATIONAL
2303690-20220316,CREMERIA LA ORDENA #2 LLC,CREMERIA LA ORDENA #2,3810 W LAWRENCE AVE,IL,CHICAGO,60625,35.0,12.0,35-12,17.0,41.968398208,-87.723637205,"(41.9683982, -87.7236372)","(41.96839820777497, -87.72363720503778)","('Retail Sales of Perishable Foods', 'Retail Sales of General Merchandise and Non-Perishable Food')","('775, 76',)","('food', 'store')",False,False,False,False,True,Cremeria La Ordena 2,3810 W Lawrence Ave,,+1 872-208-5581,OPERATIONAL
2699361-20211016,A LIST STARTENDERS LLC,A List Startenders LLC,4401 N MILWAUKEE AVE 1,IL,CHICAGO,60630,45.0,,45-,,41.960736301,-87.754391132,"(41.9607363, -87.7543911)","(41.96073630102789, -87.75439113227428)","('Miscellaneous Commercial Services',)","('708',)","('miscellaneous_commercial',)",False,False,False,False,True,A List Startenders Bartending School,4401 N Milwaukee Ave,https://www.aliststartenders.com/,+1 773-628-7470,OPERATIONAL
2284027-20220116,HUDSON NEWS O'HARE JOINT VENTURE,HUDSON,11601 W TOUHY AVE  T1BUKC,IL,CHICAGO,60666,41.0,27.0,41-27,16.0,42.008536401,-87.914428439,"(42.0085364, -87.9144284)","(42.008536400868735, -87.91442843927047)","('Retail Sales of Perishable Foods', 'Retail Sales of General Merchandise and Non-Perishable Food')","('775, 76',)","('food', 'store')",False,False,False,False,False,,,,,
2359501-20220416,CHESLEY TAFT & ASSOCIATES LLC,"CHESLEY, TAFT & ASSOCIATES, LLC",135 S LA SALLE ST 29TH 2900,IL,CHICAGO,60603,42.0,9.0,42-9,1.0,41.880016454,-87.632162307,"(41.8800165, -87.6321623)","(41.88001645393784, -87.63216230695389)","('Financial Services Commercial Office',)","('897',)","('',)",False,False,False,False,True,"Chesley, Taft & Associates, LLC",135 S LaSalle St,http://www.chesleytaft.com/,+1 312-873-1260,OPERATIONAL
2757603-20201030,SIOBHAN LESNIAK,FOX & BEAR STUDIOS,4122 W ADDISON ST 2 B,IL,CHICAGO,60641,45.0,,45-,,41.946449918,-87.730071485,"(41.9464499, -87.7300715)","(41.94644991833811, -87.73007148505631)","('Online Sales Home Based Business',)","('722',)","('',)",False,False,False,False,False,,,,,
2204669-20220716,BRAULIO DEANDA,DEANDA SERVICES,3511 E 98TH ST,IL,CHICAGO,60617,10.0,44.0,10-44,4.0,41.717575214,-87.538404756,"(41.7175752, -87.5384048)","(41.71757521426397, -87.53840475558198)","('Home Repair Services',)","('673',)","('home',)",False,False,False,False,False,,,,,
2657950-20220516,"TURQUOISE RESTAURANT, INCORPORATED",BORDEAUX LOUNGE BY TURQUOISE,2147 W ROSCOE ST BSMT-1ST,IL,CHICAGO,60618,32.0,25.0,32-25,19.0,41.943054831,-87.682735396,"(41.9430548, -87.6827354)","(41.94305483117927, -87.68273539578196)","('Consumption of Liquor on Premises', 'Preparation of Food and Dining on Premise With Seating')","('638, 73',)","('bar', 'restaurant')",False,False,False,False,True,Bordeaux Lounge by Turquoise,2147 W Roscoe St,http://www.bordeauxchicago.com/,+1 773-549-3570,OPERATIONAL
2636466-20201216,"HERITAGE PROPERTY INVESTMENTS, LLC","HERITAGE PROPERTY INVESTMENTS, LLC",1040 W ADAMS ST  475,IL,CHICAGO,60607,25.0,,25-,,41.879224322,-87.653584212,"(41.8792243, -87.6535842)","(41.879224321915544, -87.65358421213601)","('Residential Real Estate Developer Home Based Business',)","('757',)","('',)",False,False,False,False,False,,,,,
2831253-20220203,All Things Home LLC,All Things Home LLC,2329 W CHARLESTON ST  UNIT 1,IL,CHICAGO,60647,32.0,,32-,,41.919763934,-87.686215923,"(41.9197639, -87.6862159)","(41.91976393437459, -87.68621592294299)","('Interior Design / Consulting Services Home Based Business',)","('687',)","('',)",False,False,False,False,False,,,,,
2442857-20220116,TDC MMA & FITNESS LLC,TDC MMA & FITNESS LLC,322 N LEAVITT ST 1ST B,IL,CHICAGO,60612,27.0,27.0,27-27,12.0,41.887376257,-87.681847758,"(41.8873763, -87.6818478)","(41.887376257050164, -87.68184775804878)","('Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, Dance for Adults', 'Training in the Arts of Combat and Self-Defense for Both Adults and Children Less Than 40% Children', 'Fitness Training On and Off Premise')","('928, 845, 66',)","('sports', 'sports', 'gym')",False,False,False,False,True,TDC MMA + Fitness,322 N Leavitt St,http://www.tdcmmaandfitness.com/,+1 312-690-4131,OPERATIONAL
2791425-20220629,"CH 400 E, LLC",CARLUCCI,400 E RANDOLPH ST 1 201,IL,CHICAGO,60601,42.0,6.0,42-6,1.0,41.884646365,-87.617248496,"(41.8846464, -87.6172485)","(41.8846463654345, -87.61724849623945)","('Consumption of Liquor on Premises', 'Preparation of Food and Dining on Premise With Seating', 'Sale of Liquor Outdoors on Private Property')","('784, 638, 73',)","('bar', 'restaurant', 'liquor_store')",False,False,False,False,True,Carlucci Restaurant Chicago,400 E Randolph St,http://carluccichicago.com/,,OPERATIONAL
2627488-20201116,"DIZA TACOS LAKEVIEW, LLC",TACO BELL,920 W BELMONT AVE 1ST,IL,CHICAGO,60657,44.0,20.0,44-20,19.0,41.94004691,-87.652393356,"(41.9400469, -87.6523934)","(41.9400469096621, -87.65239335601743)","('Sale of Food Prepared Onsite With Dining Area',)","('781',)","('restaurant',)",False,False,False,False,True,Taco Bell,920 W Belmont Ave,https://locations.tacobell.com/il/chicago/920-w-belmont-ave.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=035174&utm_content=website&y_source=1_MTIyMjY2MjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 872-210-0759,OPERATIONAL
2703575-20211216,YIMMIES BRUNCH INC.,City Kitchen on Lincoln,5800 N LINCOLN AVE 1,IL,CHICAGO,60659,40.0,29.0,40-29,20.0,41.986761625,-87.701518515,"(41.9867616, -87.7015185)","(41.98676162461309, -87.70151851461625)","('Preparation of Food and Dining on Premise With Seating',)","('735',)","('restaurant',)",False,False,False,False,True,City Kitchen on Lincoln,5800 N Lincoln Ave,https://citykitchenlincoln.com/,+1 312-533-0407,OPERATIONAL
2807882-20210823,GERARDO MENDOZA,GERARDO MENDOZA,2144 W 51ST ST,IL,CHICAGO,60609,15.0,19.0,15-19,9.0,41.801292913,-87.678553564,"(41.8012929, -87.6785536)","(41.80129291293222, -87.67855356359682)","('Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way',)","('769',)","('food',)",False,False,False,False,False,,,,,
